GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000233485.1	0	4	0	0	0	18
ENSG00000236045.1	0	0	0	0	0	3
ENSG00000228140.2	1	22	6	2	4	0
ENSG00000142634.13	2472	2770	1529	1932	2512	3432
ENSG00000162438.12	0	3	0	2	6	3
ENSG00000142615.8	0	0	0	0	0	4
ENSG00000215704.10	0	15	0	0	2	8
ENSG00000132906.18	401	412	661	405	586	394
ENSG00000116138.13	2460	2768	3268	3034	3494	3054
ENSG00000251866.1	0	5	3	0	6	0
ENSG00000272510.1	0	2	0	1	3	4
ENSG00000116771.6	13	26	33	91	63	70
ENSG00000237301.1	0	1	6	3	0	7
ENSG00000235084.3	3	1	0	5	11	4
ENSG00000252417.1	0	0	0	0	0	0
ENSG00000236500.1	0	0	0	0	0	0
ENSG00000197312.12	1216	1444	1881	1562	1191	1705
ENSG00000215695.1	0	0	0	0	0	0
ENSG00000271742.1	0	0	0	0	0	0
ENSG00000116786.13	7657	8512	5965	5466	8178	5478
ENSG00000237938.5	4	7	1	0	6	0
ENSG00000162461.8	21	52	98	74	96	30
ENSG00000224459.1	0	3	0	0	0	1
ENSG00000162460.7	0	0	0	1	0	0
ENSG00000162458.13	12251	9231	5201	10615	14907	5634
ENSG00000224321.1	12	2	14	7	16	3
ENSG00000233954.6	70	141	68	103	132	123
ENSG00000178715.8	3	4	0	5	3	4
ENSG00000179743.4	71	71	100	64	120	53
ENSG00000065526.12	5710	8403	7321	6552	8021	8316
ENSG00000270620.1	0	0	0	0	0	0
ENSG00000116809.12	795	729	785	1048	1086	1024
ENSG00000234607.2	0	0	0	0	0	0
ENSG00000231353.1	0	0	0	0	0	0
ENSG00000275503.1	0	0	0	0	0	0
ENSG00000224966.4	0	0	0	0	0	0
ENSG00000183888.4	0	0	0	0	0	0
ENSG00000233078.1	0	0	0	0	0	0
ENSG00000173641.18	2585	9040	2415	1449	2200	4764
ENSG00000186510.12	17	22	41	21	27	9
ENSG00000232456.1	0	7	7	0	1	2
ENSG00000184908.19	23	22	10	7	25	20
ENSG00000185519.9	17	47	42	7	30	34
ENSG00000142627.13	1610	1062	1679	2560	757	2245
ENSG00000227959.1	21	22	26	21	14	25
ENSG00000224621.1	12	0	6	9	1	4
ENSG00000234166.1	0	0	0	0	0	0
ENSG00000142632.17	311	255	499	186	526	284
ENSG00000237276.8	61	34	17	7	46	47
ENSG00000288398.1	257	482	518	388	284	334
ENSG00000132881.12	177	256	288	198	205	265
ENSG00000233929.1	1	0	0	1	4	1
ENSG00000037637.11	2152	2326	2786	2463	3907	2027
ENSG00000055070.17	7888	7734	8101	7706	9417	9519
ENSG00000226457.1	0	1	1	0	2	0
ENSG00000187144.11	4	16	5	12	13	9
ENSG00000157191.20	3222	2312	2517	2760	3539	3115
ENSG00000226029.1	35	49	42	69	69	66
ENSG00000080947.15	160	334	299	282	332	470
ENSG00000206652.1	330	659	207	438	473	397
ENSG00000261135.1	0	0	4	3	0	2
ENSG00000285853.1	0	0	0	0	0	0
ENSG00000224174.2	0	0	0	0	0	0
ENSG00000233421.5	0	2	3	75	9	38
ENSG00000277344.1	0	0	0	0	0	0
ENSG00000225710.1	0	8	0	1	4	0
ENSG00000219481.10	3294	3975	2676	9449	7666	5968
ENSG00000271732.1	0	0	0	0	1	0
